word_count,word,prefix,first_prefix,second_prefix,suffix,second_suffix,first_suffix,adjective_specificity
2,በላ,በላ,በ,ላ,በላ,በ,ላ,1
3,በላች,በላ,በ,ላ,ላች,ላ,ች,0
4,ይበላል,ይበ,ይ,በ,ላል,ላ,ል,1
5,ትበላለች,ትበ,ት,በ,ለች,ለ,ች,0
2,ብላ,ብላ,ብ,ላ,ብላ,ብ,ላ,1
2,ብይ,ብይ,ብ,ይ,ብይ,ብ,ይ,0
4,በልቷል,በል,በ,ል,ቷል,ቷ,ል,1
5,በልታለች,በል,በ,ል,ለች,ለ,ች,0
3,ይብላ,ይብ,ይ,ብ,ብላ,ብ,ላ,1
3,ትብላ,ትብ,ት,ብ,ብላ,ብ,ላ,0
5,አልበላም,አል,አ,ል,ላም,ላ,ም,1
6,አልበላችም,አል,አ,ል,ችም,ች,ም,0
5,አይበላም,አይ,አ,ይ,ላም,ላ,ም,1
5,አትበላም,አት,አ,ት,ላም,ላ,ም,0
4,አይብላ,አይ,አ,ይ,ብላ,ብ,ላ,1
4,አትብይ,አት,አ,ት,ብይ,ብ,ይ,0
2,መጣ,መጣ,መ,ጣ,መጣ,መ,ጣ,1
3,መጣች,መጣ,መ,ጣ,ጣች,ጣ,ች,0
3,ይምጣ,ይም,ይ,ም,ምጣ,ም,ጣ,1
3,ትምጣ,ትም,ት,ም,ምጣ,ም,ጣ,0
4,ይመጣል,ይመ,ይ,መ,ጣል,ጣ,ል,1
5,ትመጣለች,ትመ,ት,መ,ለች,ለ,ች,0
3,መቷል,መቷ,መ,ቷ,ቷል,ቷ,ል,1
4,መታልች,መታ,መ,ታ,ልች,ል,ች,0
1,ና,ና,ና,ና,ና,ና,ና,1
2,ነይ,ነይ,ነ,ይ,ነይ,ነ,ይ,0
5,አልመጣም,አል,አ,ል,ጣም,ጣ,ም,1
6,አልመጣችም,አል,አ,ል,ችም,ች,ም,0
5,አይመጣም,አይ,አ,ይ,ጣም,ጣ,ም,1
5,አትመጣም,አት,አ,ት,ጣም,ጣ,ም,0
4,አይምጣ,አይ,አ,ይ,ምጣ,ም,ጣ,1
4,አትምጭ,አት,አ,ት,ምጭ,ም,ጭ,0
2,ሄደ,ሄደ,ሄ,ደ,ሄደ,ሄ,ደ,1
3,ሄደች,ሄደ,ሄ,ደ,ደች,ደ,ች,0
4,ይሄዳል,ይሄ,ይ,ሄ,ዳል,ዳ,ል,1
5,ትሄዳለች,ትሄ,ት,ሄ,ለች,ለ,ች,0
3,ይሂድ,ይሂ,ይ,ሂ,ሂድ,ሂ,ድ,1
3,ትሂድ,ትሂ,ት,ሂ,ሂድ,ሂ,ድ,0
3,ሄዷል,ሄዷ,ሄ,ዷ,ዷል,ዷ,ል,1
4,ሄዳለች,ሄዳ,ሄ,ዳ,ለች,ለ,ች,0
2,ሂድ,ሂድ,ሂ,ድ,ሂድ,ሂ,ድ,1
2,ሂጅ,ሂጅ,ሂ,ጅ,ሂጅ,ሂ,ጅ,0
5,አልሄደም,አል,አ,ል,ደም,ደ,ም,1
6,አልሄደችም,አል,አ,ል,ችም,ች,ም,0
5,አይሄድም,አይ,አ,ይ,ድም,ድ,ም,1
5,አትሄድም,አት,አ,ት,ድም,ድ,ም,0
4,አይሂድ,አይ,አ,ይ,ሂድ,ሂ,ድ,1
4,አትሂጅ,አት,አ,ት,ሂጅ,ሂ,ጅ,0
4,መታለች,መታ,መ,ታ,ለች,ለ,ች,0
6,አልመጣችም,አል,አ,ል,ችም,ች,ም,0
2,ሮጠ,ሮጠ,ሮ,ጠ,ሮጠ,ሮ,ጠ,1
3,ሮጠች,ሮጠ,ሮ,ጠ,ጠች,ጠ,ች,0
4,ይሮጣል,ይሮ,ይ,ሮ,ጣል,ጣ,ል,1
5,ትሮጣለች,ትሮ,ት,ሮ,ለች,ለ,ች,0
3,ይሩጥ,ይሩ,ይ,ሩ,ሩጥ,ሩ,ጥ,1
3,ትሩጥ,ትሩ,ት,ሩ,ሩጥ,ሩ,ጥ,0
3,ሮጧል,ሮጧ,ሮ,ጧ,ጧል,ጧ,ል,1
4,ሮጣለች ,ሮጣ,ሮ,ጣ,ች ,ች, ,0
5,አልሮጠም,አል,አ,ል,ጠም,ጠ,ም,1
6,አልሮጠችም,አል,አ,ል,ችም,ች,ም,0
5,አይሮጥም,አይ,አ,ይ,ጥም,ጥ,ም,1
2,ሩጥ,ሩጥ,ሩ,ጥ,ሩጥ,ሩ,ጥ,1
